Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
1,Lin Ar,Swamp,Swamp Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,20214,598.14,727.77,29.63,-17.72,82,66°F,Marrakesh,,,citadel,walls,plaza,temple,shanty town,{t1:gules;division:{division:gyronny;t:argent};charges:[{charge:basilisk;t:or;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lin+Ar&population=21342&size=12&seed=970897748&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
2,Batan Mulag,Shuanhua,Shuanhua Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,16509,1481.1,475.6,41.89,25.51,52,59°F,Rome,,,citadel,walls,plaza,temple,,{t1:vert;ordinaries:[{ordinary:pileInBend;t:argent}];charges:[{charge:rustre;t:vert;p:e;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Batan+Mulag&population=16509&size=25&seed=8563657060002&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
3,Ti'thesi,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,6904,1459.5,617,35.01,24.45,161,63°F,Lisbon,,port,citadel,walls,plaza,,,{t1:gules;division:{division:perFess;t:argent;line:rayonne};charges:[{charge:lozengeFaceted;t:or;p:k;size:0.7};{charge:inescutcheon;t:purpure;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Ti%27thesi&population=6904&size=18&seed=8563657060003&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.31
4,Barhowa,G'risia,G'risia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,12830,1046.5,559.5,37.81,4.23,13,61°F,Dubrovnik,,port,citadel,walls,,,,{t1:or;charges:[{charge:crossSantiago;t:gules;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Barhowa&population=12830&size=22&seed=8563657060004&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.07
5,Habuol,The South,The South Province,Ulbagra'a,Ulbagra'an Empire,Everoli,Deities of Sands,16789,309,651.5,33.34,-31.87,328,63°F,Lisbon,capital,port,citadel,walls,plaza,,,{t1:chequy-azure-argent;division:{division:perFess;t:vair-sable-or-smaller;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Habuol&population=19462&size=11&seed=987618933&river=1&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.21
6,Inver,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Craft,2734,1006.5,186.5,55.94,2.28,13,50°F,London,,port,,,plaza,,,{t1:masoned-argent-gules;charges:[{charge:mascle;t:sable;p:kn;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Inver&population=2734&size=13&seed=8563657060006&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.73
7,Miy,The East,The East Province,Ulbagra'a,Ulbagra'an Empire,Nevterish,Deities of Nature,9130,450.63,621.22,34.81,-24.94,948,59°F,Rome,,,citadel,walls,plaza,temple,shanty town,{t1:gules;charges:[{charge:armillarySphere;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Miy&population=9130&size=20&seed=8563657060007&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
8,Umush,Tunu,Tunu Province,Waszi,Kingdom of Waszi,Althonesh,Deities of Craft,11222,739.5,257.5,52.49,-10.8,161,52°F,Antwerp,capital,port,,walls,plaza,temple,shanty town,{t1:or;charges:[{charge:boat;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Umush&population=11222&size=21&seed=8563657060008&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.16
9,Nic'olu,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,18578,1650,298.5,50.49,33.78,52,54°F,Paris,,port,citadel,walls,,,,{t1:purpure;charges:[{charge:eagle;t:argent;p:kn;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Nic%27olu&population=18578&size=26&seed=8563657060009&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.58
10,Therius,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,1246,512.5,474,41.96,-21.91,82,59°F,Rome,capital,port,citadel,walls,plaza,,shanty town,{t1:gules;charges:[{charge:escallop;t:argent;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Therius&population=1246&size=9&seed=8563657060010&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.15
11,Carvv,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,20304,1079.5,490,41.19,5.85,30,59°F,Rome,capital,port,,walls,plaza,temple,shanty town,{t1:or;division:{division:perSaltire;t:purpure};charges:[{charge:triangle;t:gules;p:b;size:0.5};{charge:hatchet;t:argent;p:d;size:0.5};{charge:chalice;t:or;p:f;size:0.5};{charge:horseRampant;t:gules;p:h;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Carvv&population=20304&size=27&seed=8563657060011&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.84
12,Kayova,Vostish Tazaleia,Vostish Tazaleia,Vostis,Vostish Kingdom,Henyish,Deities of Wisdom,11368,1761,440.5,43.59,39.22,82,57°F,Batumi,capital,port,citadel,walls,plaza,,,{t1:purpure;charges:[{charge:wyvern;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kayova&population=11368&size=21&seed=8563657060012&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.07
13,Innur,Maroris,Maroris Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,13242,1014,469.5,42.18,2.64,161,57°F,Batumi,capital,port,,,,,,{t1:sable;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Innur&population=13242&size=23&seed=8563657060013&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.69
14,Vansuo,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,19780,1113.5,493,41.04,7.52,328,57°F,Batumi,,port,,walls,,,,{t1:azure;ordinaries:[{ordinary:saltire;t:argent;line:straight}];charges:[{charge:dragonRampant;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Vansuo&population=19780&size=26&seed=8563657060014&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.26
15,Enasha,Doyelu,Doyelu Province,Irdre,Irdrean Consulate,Maysiolian,Deities of Nature,10394,876.5,623.5,34.7,-4.09,266,61°F,Dubrovnik,capital,port,citadel,walls,plaza,,shanty town,{t1:gules;ordinaries:[{ordinary:pileInBendSinister;t:argent}];charges:[{charge:lymphad;t:argent;p:ai;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Enasha&population=10394&size=21&seed=8563657060015&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=0.26
16,Telit,Sidania,Sidania Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,2059,1362.5,489,41.23,19.71,210,59°F,Rome,capital,port,citadel,walls,plaza,,,{t1:argent;charges:[{charge:crossHummetty;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Telit&population=2059&size=11&seed=8563657060016&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.98
17,Cascayo,Vuldagos,Vuldagos Province,Bransha,Kingdom of Bransha,Saas'maean,Deities of Trade,22630,1029,640.5,33.87,3.38,82,64°F,Barcelona,capital,port,,walls,,,,{t1:gules;charges:[{charge:trianglePierced;t:or;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cascayo&population=22630&size=28&seed=8563657060017&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.1
18,Weila Aldsa,Weila Aldsa,Weila Aldsa Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,19625,1352.5,651.5,33.34,19.22,82,64°F,Barcelona,,port,citadel,walls,,,,{t1:purpure;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:crossHummetty;t:gules;p:behdf;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Weila+Aldsa&population=19625&size=26&seed=8563657060018&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.9
19,Hanah,The South,The South Province,Ulbagra'a,Ulbagra'an Empire,Everoli,Deities of Sands,18589,306.5,659,32.97,-31.99,30,64°F,Barcelona,,port,,,plaza,,,{t1:potent-or-azure;division:{division:perPile;t:purpure;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Hanah&population=18589&size=26&seed=8563657060019&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.84
20,Himna Ve'amla,Himna Ve'amla,Himna Ve'amla Province,Hethi,Council of Hethi,Therini,Deity of High Truth,4298,1784.5,659,32.97,40.37,2051,57°F,Batumi,capital,port,citadel,walls,plaza,temple,shanty town,{t1:gules;division:{division:perPale;t:argent;line:potenty};charges:[{charge:mulletFaceted;t:or;p:pq;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Himna+Ve%27amla&population=4298&size=15&seed=8563657060020&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.35
21,Livaarta,South Chosia,South Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,27386,1103.5,394,45.85,7.03,554,54°F,Paris,capital,port,citadel,walls,plaza,,,{t1:vert;division:{division:perPale;t:argent;line:raguly};shield:heater},https://watabou.github.io/city-generator/?name=Livaarta&population=27386&size=30&seed=8563657060021&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.35
22,Cayojae,Old Vostis,Old Vostis,Vostis,Vostish Kingdom,Therini,Deities of Wisdom,5177,1752.65,555.61,38,38.81,30,61°F,Dubrovnik,,port,,walls,plaza,temple,shanty town,{t1:chequy-argent-purpure;charges:[{charge:plough;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cayojae&population=5177&size=16&seed=8563657060022&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.56
23,Nylmas,Nylmas,Nylmas Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,28040,583.5,605.5,35.57,-18.43,161,63°F,Lisbon,capital,port,citadel,,plaza,temple,,{t1:argent;division:{division:perPile;t:purpure;line:straight};ordinaries:[{ordinary:pale;t:azure;line:archedReversed}];charges:[{charge:sun;t:argent;p:kn;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Nylmas&population=28040&size=30&seed=8563657060023&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.1
24,Varcii,Reine,Reine Province,Varcii,Varciian Commonwealth,Maysiolian,Deities of Nature,13599,732,640.5,33.87,-11.16,118,63°F,Lisbon,capital,port,citadel,walls,plaza,temple,,{t1:or;ordinaries:[{ordinary:bordure;t:sable}];charges:[{charge:boat;t:argent;p:ABCDEFGHIJKL;size:0.18}];shield:heater},https://watabou.github.io/city-generator/?name=Varcii&population=13599&size=23&seed=8563657060024&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.18
